trip_id,trip_property_id,value
69816258,trip_type,supplemental
69816330,note,Waits at Forest Hills for last Orange Line train
69816330,trip_type,wait
69816434,note,Does not run during school vacation
69816434,trip_type,supplemental
69816494,note,Does not run during school vacation
69816494,trip_type,supplemental
69816608,note,Waits at Forest Hills for last Orange Line train
69816608,trip_type,wait
69816610,note,Does not run during school vacation
69816610,trip_type,supplemental
69816624,note,Does not run during school vacation
69816624,trip_type,supplemental
69816630,note,Does not run during school vacation
69816630,trip_type,supplemental
69816631,note,Does not run during school vacation
69816631,trip_type,supplemental
69816686,note,Does not run during school vacation
69816686,trip_type,supplemental
69816688,note,Does not run during school vacation
69816688,trip_type,supplemental
69816690,note,Does not run during school vacation
69816690,trip_type,supplemental
69816695,note,Does not run during school vacation
69816695,trip_type,supplemental
69817538,note,Waits at Forest Hills for last Orange Line train
69817538,trip_type,wait
69817893,note,Waits at Ashmont for last Red Line train
69817893,note,Waits at Mattapan for last Mattapan Trolley train
69817893,trip_type,wait
69817995,note,Waits at Forest Hills for last Orange Line train
69817995,trip_type,wait
69818174,note,Waits at Forest Hills for last Orange Line train
69818174,trip_type,wait
69818536,note,Waits at Ashmont for last Red Line train
69818536,trip_type,wait
69818559,note,Waits at Forest Hills for last Orange Line train
69818559,trip_type,wait
69819326,note,Waits at Forest Hills for last Orange Line train
69819326,trip_type,wait
69819566,note,Waits at Forest Hills for last Orange Line train
69819566,trip_type,wait
69819744,note,Waits at Forest Hills for last Orange Line train
69819744,trip_type,wait
69820223,note,Waits at Ashmont for last Red Line train
69820223,note,Waits at Mattapan for last Mattapan Trolley train
69820223,trip_type,wait
69820433,note,Waits at Forest Hills for last Orange Line train
69820433,trip_type,wait
69820913,note,Waits at Ashmont for last Red Line train
69820913,trip_type,wait
69821390,note,Waits at Forest Hills for last Orange Line train
69821390,trip_type,wait
69821522,note,Waits at Forest Hills for last Orange Line train
69821522,trip_type,wait
69821793,note,Waits at Forest Hills for last Orange Line train
69821793,trip_type,wait
69822857,note,Waits at Forest Hills for last Orange Line train
69822857,trip_type,wait
69823097,note,Waits at Forest Hills for last Orange Line train
69823097,trip_type,wait
69823275,note,Waits at Forest Hills for last Orange Line train
69823275,trip_type,wait
69883608,note,Does not run during school vacation
69883608,trip_type,supplemental
69883641,note,Does not run during school vacation
69883641,trip_type,supplemental
69883716,note,Does not run during school vacation
69883716,trip_type,supplemental
69883734,note,Does not run during school vacation
69883734,trip_type,supplemental
69883755,note,Does not run during school vacation
69883755,trip_type,supplemental
69883988,note,Does not run during school vacation
69883988,trip_type,supplemental
69884603,note,Does not run during school vacation
69884603,trip_type,supplemental
69884604,note,Does not run during school vacation
69884604,trip_type,supplemental
69884606,note,Does not run during school vacation
69884606,trip_type,supplemental
69885194,note,Does not run during school vacation
69885194,trip_type,supplemental
69885196,note,Does not run during school vacation
69885196,trip_type,supplemental
69885197,note,Does not run during school vacation
69885197,trip_type,supplemental
69885246,note,Does not run during school vacation
69885246,trip_type,supplemental
69885252,note,Does not run during school vacation
69885252,trip_type,supplemental
69885256,note,Does not run during school vacation
69885256,trip_type,supplemental
69885315,note,Does not run during school vacation
69885315,trip_type,supplemental
69885316,note,Does not run during school vacation
69885316,trip_type,supplemental
69885317,note,Does not run during school vacation
69885317,trip_type,supplemental
69885318,note,Does not run during school vacation
69885318,trip_type,supplemental
69885541,note,Does not run during school vacation
69885541,trip_type,supplemental
69885575,note,Does not run during school vacation
69885575,trip_type,supplemental
69886737,note,Does not run during school vacation
69886737,trip_type,supplemental
69886760,note,Does not run during school vacation
69886760,trip_type,supplemental
69886994,note,Waits at Wellington for last Orange Line train
69886994,trip_type,wait
69887078,note,Waits at Wellington for last Orange Line train
69887078,trip_type,wait
69887548,note,Waits at Wellington for last Orange Line train
69887548,trip_type,wait
69887726,note,Does not run during school vacation
69887726,trip_type,supplemental
69888076,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
69888076,trip_type,wait
69888175,note,Waits at Sullivan Square for last Orange Line train
69888175,trip_type,wait
69888194,note,Does not run during school vacation
69888194,trip_type,supplemental
69888208,note,Does not run during school vacation
69888208,trip_type,supplemental
69888316,note,Does not run during school vacation
69888316,trip_type,supplemental
69888337,note,Waits at Sullivan Square for last Orange Line train
69888337,trip_type,wait
69888435,note,Waits at Wellington for last Orange Line train
69888435,trip_type,wait
69888531,note,Waits at Harvard for last Red Line train
69888531,trip_type,wait
69888548,note,Does not run during school vacation
69888548,trip_type,supplemental
69888784,note,Waits at Malden Center for last Orange Line train
69888784,trip_type,wait
69888865,note,Waits at Sullivan Square for last Orange Line train
69888865,trip_type,wait
69896778,note,Waits at Wellington for last Orange Line train
69896778,trip_type,wait
69896862,note,Waits at Wellington for last Orange Line train
69896862,trip_type,wait
69897331,note,Waits at Wellington for last Orange Line train
69897331,trip_type,wait
69897855,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
69897855,trip_type,wait
69897954,note,Waits at Sullivan Square for last Orange Line train
69897954,trip_type,wait
69898110,note,Waits at Sullivan Square for last Orange Line train
69898110,trip_type,wait
69898205,note,Waits at Wellington for last Orange Line train
69898205,trip_type,wait
69898297,note,Waits at Harvard for last Red Line train
69898297,trip_type,wait
69898547,note,Waits at Malden Center for last Orange Line train
69898547,trip_type,wait
69898628,note,Waits at Sullivan Square for last Orange Line train
69898628,trip_type,wait
69979858,note,Waits at Maverick for last Blue Line train
69979858,trip_type,wait
69979924,note,Waits at Wonderland for last Blue Line train
69979924,trip_type,wait
69980047,note,Waits at Maverick for last Blue Line train
69980047,trip_type,wait
69980368,note,Waits at Maverick for last Blue Line train
69980368,trip_type,wait
69980593,note,Waits at Maverick for last Blue Line train
69980593,trip_type,wait
69980646,note,Waits at Wonderland for last Blue Line train
69980646,trip_type,wait
69987022,note,Waits at Fields Corner for last Red Line train
69987022,trip_type,wait
69987098,note,Waits at Quincy Center for last Red Line train
69987098,trip_type,wait
69987425,note,Does not run during school vacation
69987425,trip_type,supplemental
69987441,note,Does not run during school vacation
69987441,trip_type,supplemental
69987452,note,Does not run during school vacation
69987452,trip_type,supplemental
69987478,note,Does not run during school vacation
69987478,trip_type,supplemental
69987484,note,Waits at Quincy Center for last Red Line train
69987484,trip_type,wait
69987503,note,Waits at Fields Corner for last Red Line train
69987503,trip_type,wait
69987744,note,Does not run during school vacation
69987744,trip_type,supplemental
69987914,note,Does not run during school vacation
69987914,trip_type,supplemental
69987965,note,Does not run during school vacation
69987965,trip_type,supplemental
69988074,note,Does not run during school vacation
69988074,trip_type,supplemental
69988095,note,Does not run during school vacation
69988095,trip_type,supplemental
69988147,note,Does not run during school vacation
69988147,trip_type,supplemental
69988150,note,Does not run during school vacation
69988150,trip_type,supplemental
69988151,note,Does not run during school vacation
69988151,trip_type,supplemental
69988152,note,Does not run during school vacation
69988152,trip_type,supplemental
69988249,note,Waits at Ashmont for last Red Line train
69988249,trip_type,wait
69988794,note,Waits at Fields Corner for last Red Line train
69988794,trip_type,wait
69988903,note,Waits at Quincy Center for last Red Line train
69988903,trip_type,wait
69989239,note,Waits at Fields Corner for last Red Line train
69989239,trip_type,wait
69989312,note,Waits at Quincy Center for last Red Line train
69989312,trip_type,wait
69991748,note,Does not run during school vacation
69991748,trip_type,supplemental
69991752,note,Does not run during school vacation
69991752,trip_type,supplemental
69991769,note,Does not run during school vacation
69991769,trip_type,supplemental
69991770,note,Does not run during school vacation
69991770,trip_type,supplemental
69991791,note,Waits at Maverick for last Blue Line train
69991791,trip_type,wait
69991826,note,Does not run during school vacation
69991826,trip_type,supplemental
69991848,note,Does not run during school vacation
69991848,trip_type,supplemental
69991879,note,Waits at Wonderland for last Blue Line train
69991879,trip_type,wait
69991908,note,Does not run during school vacation
69991908,trip_type,supplemental
69991983,note,Does not run during school vacation
69991983,trip_type,supplemental
69992008,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
69992008,trip_type,wait
69992101,note,Waits at Maverick for last Blue Line train
69992101,trip_type,wait
69992109,note,Does not run during school vacation
69992109,trip_type,supplemental
69992177,note,Does not run during school vacation
69992177,trip_type,supplemental
69992183,note,Does not run during school vacation
69992183,trip_type,supplemental
69992184,note,Does not run during school vacation
69992184,trip_type,supplemental
69992193,note,Does not run during school vacation
69992193,trip_type,supplemental
69992240,note,Does not run during school vacation
69992240,trip_type,supplemental
69992249,note,Does not run during school vacation
69992249,trip_type,supplemental
69992405,note,Does not run during school vacation
69992405,trip_type,supplemental
69992477,note,Does not run during school vacation
69992477,trip_type,supplemental
69993329,note,Waits at Maverick for last Blue Line train
69993329,trip_type,wait
69993395,note,Waits at Wonderland for last Blue Line train
69993395,trip_type,wait
69993518,note,Waits at Maverick for last Blue Line train
69993518,trip_type,wait
70016126,note,Waits at Maverick for last Blue Line train
70016126,trip_type,wait
70016212,note,Waits at Wonderland for last Blue Line train
70016212,trip_type,wait
70016339,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
70016339,trip_type,wait
70016435,note,Waits at Maverick for last Blue Line train
70016435,trip_type,wait
70039431,note,Waits at Quincy Center for last Red Line train
70039431,trip_type,wait
70039551,note,Waits at Fields Corner for last Red Line train
70039551,trip_type,wait
70040291,note,Waits at Ashmont for last Red Line train
70040291,trip_type,wait
70054012,note,Waits at Orient Heights for last Blue Line train
70054012,trip_type,wait
70054106,note,Waits at Orient Heights for last Blue Line train
70054106,trip_type,wait
70107487,note,Waits at Orient Heights for last Blue Line train
70107487,trip_type,wait
WMLFriday-733073-565,note,Waits at West Natick for Train 1561
WMLFriday-733073-565,trip_type,wait
WMLFriday-733075-559,note,Waits at West Natick for Train 1555
WMLFriday-733075-559,trip_type,wait
WMLFriday-733077-553,note,Waits at West Natick for Train 1551
WMLFriday-733077-553,trip_type,wait
WMLFriday-733071-571,note,Waits at West Natick for Train 1567
WMLFriday-733071-571,trip_type,wait
WMLFriday-733057-1522,note,Waits at West Natick for Train 518
WMLFriday-733057-1522,trip_type,wait
WMLFriday-733059-1516,note,Waits at West Natick for Train 514
WMLFriday-733059-1516,trip_type,wait
WMLFriday-733060-1512,note,Waits at West Natick for Train 510
WMLFriday-733060-1512,trip_type,wait
WMLFriday-733092-519,note,Waits at Framingham for Train 1517
WMLFriday-733092-519,trip_type,wait
WMLFriday-733269-515,note,Waits at Framingham for Train 1511
WMLFriday-733269-515,trip_type,wait
WMLFriday-733053-1562,note,Waits at Framingham for Train 560
WMLFriday-733053-1562,trip_type,wait
WMLFriday-733054-1558,note,Waits at Framingham for Train 556
WMLFriday-733054-1558,trip_type,wait
WMLFriday-733057-1522,note,Waits at Framingham for Train 520
WMLFriday-733057-1522,trip_type,wait
NorthJune2WKDY-740408-93,note,Waits at Salem for Train 193
NorthJune2WKDY-740408-93,trip_type,wait
NorthJune2WKDY-739879-429,note,Waits at Littleton/Route 495 for Train 1427
NorthJune2WKDY-739879-429,trip_type,wait
NorthJune2WKDY-739804-1408,note,Waits at Littleton/Route 495 for Train 406
NorthJune2WKDY-739804-1408,trip_type,wait
OLSignsWKDY-739234-908,note,Waits at Readville for Train 1708
OLSignsWKDY-739234-908,trip_type,wait
OLSignsWKDY-739216-856,note,Waits at Readville for Train 1756
OLSignsWKDY-739216-856,trip_type,wait
OLSignsWKDY-739223-874,note,Waits at Readville for Train 776
OLSignsWKDY-739223-874,trip_type,wait
OLSignsWKDY-739498-984,note,Waits at Readville for Train 784
OLSignsWKDY-739498-984,trip_type,wait
OLSignsWKDY-739230-892,note,Waits at Readville for Train 792
OLSignsWKDY-739230-892,trip_type,wait
OLSignsWKDY-739103-2002,note,Waits at Braintree for Train 1002
OLSignsWKDY-739103-2002,trip_type,wait
OLSignsWKDY-738972-1047,note,Waits at Braintree for Train 2047
OLSignsWKDY-738972-1047,trip_type,wait
OLSignsWKDY-739120-2055,note,Waits at East Taunton for Train 1905
OLSignsWKDY-739120-2055,trip_type,wait
OLSignsWKDY-739121-2059,note,Waits at East Taunton for Train 1909
OLSignsWKDY-739121-2059,trip_type,wait
OLSignsWKDY-739124-2065,note,Waits at East Taunton for Train 1915
OLSignsWKDY-739124-2065,trip_type,wait
OLSignsWKDY-739125-2067,note,Waits at East Taunton for Train 1917
OLSignsWKDY-739125-2067,trip_type,wait
OLSignsWKDY-739122-2061,note,Waits at East Taunton for Train 1911
OLSignsWKDY-739122-2061,trip_type,wait
OLSignsWKDY-739127-2075,note,Waits at East Taunton for Train 1925
OLSignsWKDY-739127-2075,trip_type,wait
OLSignsWKDY-739129-2089,note,Waits at East Taunton for Train 1939
OLSignsWKDY-739129-2089,trip_type,wait
OLSignsWKDY-739131-2095,note,Waits at East Taunton for Train 1945
OLSignsWKDY-739131-2095,trip_type,wait
OLSignsWKDY-739091-1971,note,Waits at East Taunton for Train 2021
OLSignsWKDY-739091-1971,trip_type,wait
OLSignsWKDY-739096-1983,note,Waits at East Taunton for Train 2033
OLSignsWKDY-739096-1983,trip_type,wait
OLSignsWKDY-739098-1987,note,Waits at East Taunton for Train 2037
OLSignsWKDY-739098-1987,trip_type,wait
OLSignsWKDY-739100-1991,note,Waits at East Taunton for Train 2041
OLSignsWKDY-739100-1991,trip_type,wait
OLSignsWKDY-739102-1997,note,Waits at East Taunton for Train 2047
OLSignsWKDY-739102-1997,trip_type,wait
OLSignsWKDY-739126-2069,note,Waits at East Taunton for Train 1919
OLSignsWKDY-739126-2069,trip_type,wait
OLSignsWKDY-739104-2010,note,Waits at East Taunton for Train 1960
OLSignsWKDY-739104-2010,trip_type,wait
OLSignsWKDY-739105-2016,note,Waits at East Taunton for Train 1966
OLSignsWKDY-739105-2016,trip_type,wait
OLSignsWKDY-739107-2022,note,Waits at East Taunton for Train 1972
OLSignsWKDY-739107-2022,trip_type,wait
OLSignsWKDY-739108-2024,note,Waits at East Taunton for Train 1974
OLSignsWKDY-739108-2024,trip_type,wait
OLSignsWKDY-739110-2028,note,Waits at East Taunton for Train 1978
OLSignsWKDY-739110-2028,trip_type,wait
OLSignsWKDY-739112-2030,note,Waits at East Taunton for Train 1980
OLSignsWKDY-739112-2030,trip_type,wait
OLSignsWKDY-739109-2026,note,Waits at East Taunton for Train 1976
OLSignsWKDY-739109-2026,trip_type,wait
OLSignsWKDY-739116-2038,note,Waits at East Taunton for Train 1988
OLSignsWKDY-739116-2038,trip_type,wait
OLSignsWKDY-739118-2044,note,Waits at East Taunton for Train 1994
OLSignsWKDY-739118-2044,trip_type,wait
OLSignsWKDY-739078-1912,note,Waits at East Taunton for Train 2062
OLSignsWKDY-739078-1912,trip_type,wait
OLSignsWKDY-739085-1936,note,Waits at East Taunton for Train 2086
OLSignsWKDY-739085-1936,trip_type,wait
OLSignsWKDY-739087-1942,note,Waits at East Taunton for Train 2092
OLSignsWKDY-739087-1942,trip_type,wait
OLSignsWKDY-739114-2034,note,Waits at East Taunton for Train 1984
OLSignsWKDY-739114-2034,trip_type,wait
OLSignsWKDY-739071-1775,note,Waits at Readville for Train 875
OLSignsWKDY-739071-1775,trip_type,wait
OLSignsWKDY-739073-1785,note,Waits at Readville for Train 885
OLSignsWKDY-739073-1785,trip_type,wait
OLSignsWKDY-739189-793,note,Waits at Readville for Train 893
OLSignsWKDY-739189-793,trip_type,wait
OLSignsWKDY-739164-689,note,Waits at Forest Hills for Train 889
OLSignsWKDY-739164-689,trip_type,wait
OLSignsWKDY-739165-693,note,Waits at Forest Hills for Train 893
OLSignsWKDY-739165-693,trip_type,wait
OLSignsWKDY-739300-565,note,Waits at West Natick for Train 1561
OLSignsWKDY-739300-565,trip_type,wait
OLSignsWKDY-739298-571,note,Waits at West Natick for Train 1567
OLSignsWKDY-739298-571,trip_type,wait
OLSignsWKDY-739302-559,note,Waits at West Natick for Train 1555
OLSignsWKDY-739302-559,trip_type,wait
OLSignsWKDY-739304-553,note,Waits at West Natick for Train 1551
OLSignsWKDY-739304-553,trip_type,wait
OLSignsWKDY-739284-1522,note,Waits at West Natick for Train 518
OLSignsWKDY-739284-1522,trip_type,wait
OLSignsWKDY-739286-1516,note,Waits at West Natick for Train 514
OLSignsWKDY-739286-1516,trip_type,wait
OLSignsWKDY-739287-1512,note,Waits at West Natick for Train 510
OLSignsWKDY-739287-1512,trip_type,wait
OLSignsWKDY-739319-519,note,Waits at Framingham for Train 1517
OLSignsWKDY-739319-519,trip_type,wait
OLSignsWKDY-739496-515,note,Waits at Framingham for Train 1511
OLSignsWKDY-739496-515,trip_type,wait
OLSignsWKDY-739280-1562,note,Waits at Framingham for Train 560
OLSignsWKDY-739280-1562,trip_type,wait
OLSignsWKDY-739281-1558,note,Waits at Framingham for Train 556
OLSignsWKDY-739281-1558,trip_type,wait
OLSignsWKDY-739284-1522,note,Waits at Framingham for Train 520
OLSignsWKDY-739284-1522,trip_type,wait
OLSignsWKND-739508-5806,note,Waits at Readville for Train 5706
OLSignsWKND-739508-5806,trip_type,wait
OLSignsWKND-739523-5878,note,Waits at Readville for Train 5778
OLSignsWKND-739523-5878,trip_type,wait
OLSignsWKND-739524-5884,note,Waits at Readville for Train 5784
OLSignsWKND-739524-5884,trip_type,wait
OLSignsWKND-739526-5892,note,Waits at Readville for Train 5792
OLSignsWKND-739526-5892,trip_type,wait
OLSignsWKND-739511-5824,note,Waits at Readville for Train 5724
OLSignsWKND-739511-5824,trip_type,wait
OLSignsWKND-739512-5830,note,Waits at Readville for Train 5730
OLSignsWKND-739512-5830,trip_type,wait
OLSignsWKND-739514-5838,note,Waits at Readville for Train 5738
OLSignsWKND-739514-5838,trip_type,wait
OLSignsWKND-739516-5846,note,Waits at Readville for Train 5746
OLSignsWKND-739516-5846,trip_type,wait
OLSignsWKND-739519-5856,note,Waits at Readville for Train 5754
OLSignsWKND-739519-5856,trip_type,wait
OLSignsWKND-739521-5868,note,Waits at Readville for Train 5768
OLSignsWKND-739521-5868,trip_type,wait
OLSignsWKND-739545-6047,note,Waits at Braintree for Train 7047
OLSignsWKND-739545-6047,trip_type,wait
OLSignsWKND-739606-6979,note,Waits at East Taunton for Train 7029
OLSignsWKND-739606-6979,trip_type,wait
OLSignsWKND-740339-5715,note,Waits at Readville for Train 5815
OLSignsWKND-740339-5715,trip_type,wait
OLSignsWKND-740355-5785,note,Waits at Readville for Train 5885
OLSignsWKND-740355-5785,trip_type,wait
OLSignsWKND-740357-5793,note,Waits at Readville for Train 5893
OLSignsWKND-740357-5793,trip_type,wait
OLSignsWKND-740340-5721,note,Waits at Readville for Train 5821
OLSignsWKND-740340-5721,trip_type,wait
OLSignsWKND-740343-5731,note,Waits at Readville for Train 5831
OLSignsWKND-740343-5731,trip_type,wait
OLSignsWKND-740345-5739,note,Waits at Readville for Train 5839
OLSignsWKND-740345-5739,trip_type,wait
OLSignsWKND-740347-5747,note,Waits at Readville for Train 5847
OLSignsWKND-740347-5747,trip_type,wait
OLSignsWKND-740349-5755,note,Waits at Readville for Train 5855
OLSignsWKND-740349-5755,trip_type,wait
OLSignsWKND-740350-5767,note,Waits at Readville for Train 5867
OLSignsWKND-740350-5767,trip_type,wait
OLSignsWKND-740352-5777,note,Waits at Readville for Train 5877
OLSignsWKND-740352-5777,trip_type,wait
